Date,Time,Open,High,Low,Close,Volume
2019.06.27,02:00,1.137,1.13701,1.13592,1.13615,2580
2019.06.27,03:00,1.13616,1.13631,1.13583,1.13588,985
2019.06.27,04:00,1.13584,1.13585,1.13488,1.13524,1713
2019.06.27,05:00,1.13525,1.13552,1.13474,1.13549,1669
2019.06.27,06:00,1.13549,1.13596,1.13502,1.13575,4141
2019.06.27,07:00,1.13574,1.13733,1.13574,1.13672,8252
2019.06.27,08:00,1.13675,1.1374,1.13632,1.13711,5175
2019.06.27,09:00,1.13714,1.13811,1.13662,1.13748,5376
2019.06.27,10:00,1.13749,1.13802,1.13661,1.13781,5453
2019.06.27,11:00,1.1378,1.13804,1.13693,1.13748,4215
2019.06.27,12:00,1.13746,1.13761,1.13638,1.13661,6283
2019.06.27,13:00,1.13662,1.13674,1.1356,1.13581,5251
2019.06.27,14:00,1.13584,1.13734,1.1357,1.13688,5956
2019.06.27,15:00,1.13689,1.13744,1.13617,1.13708,4766
2019.06.27,16:00,1.13708,1.13713,1.13626,1.13658,2577
2019.06.27,17:00,1.13659,1.13704,1.13641,1.13669,2270
2019.06.27,18:00,1.1367,1.13729,1.1365,1.13729,1988
2019.06.27,19:00,1.13731,1.13735,1.13664,1.13682,1779
2019.06.27,20:00,1.13681,1.13713,1.13678,1.13687,1073
2019.06.27,21:05,1.13691,1.13691,1.13667,1.13688,630
2019.06.27,22:05,1.13687,1.13689,1.13672,1.13678,298
2019.06.27,23:05,1.13676,1.13729,1.13675,1.13707,679
2019.06.28,00:00,1.13707,1.13759,1.13688,1.13697,2151
2019.06.28,01:00,1.137,1.1372,1.13653,1.13665,2369
2019.06.28,02:00,1.13664,1.13698,1.13652,1.13683,1422
2019.06.28,03:00,1.13682,1.13684,1.13643,1.1365,1061
2019.06.28,04:00,1.13652,1.13666,1.13623,1.13628,1248
2019.06.28,05:00,1.13628,1.13638,1.13603,1.1363,1428
2019.06.28,06:00,1.1363,1.13792,1.1363,1.1378,4054
2019.06.28,07:00,1.1378,1.13922,1.13778,1.13866,5666
2019.06.28,08:00,1.13865,1.13916,1.13827,1.13897,3665
2019.06.28,09:00,1.139,1.13931,1.13836,1.13843,4238
2019.06.28,10:00,1.13842,1.1388,1.13806,1.13819,2961
2019.06.28,11:00,1.1382,1.1384,1.13674,1.13711,4170
2019.06.28,12:00,1.13709,1.1385,1.13709,1.13849,5930
2019.06.28,13:00,1.13848,1.13883,1.13766,1.13825,5467
2019.06.28,14:00,1.13824,1.13891,1.13755,1.13884,7219
2019.06.28,15:00,1.13883,1.13918,1.13713,1.13743,5381
2019.06.28,16:00,1.13742,1.13755,1.13502,1.13585,3493
2019.06.28,17:00,1.13584,1.13685,1.13552,1.13685,3618
2019.06.28,18:00,1.13684,1.13776,1.13653,1.13771,2759
2019.06.28,19:00,1.13771,1.13771,1.13693,1.13713,2103
2019.06.28,20:00,1.13711,1.13714,1.13662,1.13693,1247
2019.06.30,21:05,1.13582,1.13687,1.13582,1.13643,1714
2019.06.30,22:05,1.13641,1.13707,1.13631,1.13684,1823
2019.06.30,23:05,1.13682,1.13696,1.13597,1.13597,1436
2019.07.01,00:00,1.13597,1.13636,1.13534,1.13535,2537
2019.07.01,01:00,1.13536,1.13549,1.13476,1.13511,2693
2019.07.01,02:00,1.13512,1.13561,1.13507,1.13518,1402
2019.07.01,03:00,1.1352,1.1353,1.13491,1.13523,865
2019.07.01,04:00,1.13518,1.13529,1.13476,1.1348,1168
2019.07.01,05:00,1.13481,1.13485,1.13213,1.13281,4220
2019.07.01,06:00,1.13283,1.13328,1.13236,1.13265,4118
2019.07.01,07:00,1.13266,1.13292,1.13162,1.13209,7456
2019.07.01,08:00,1.1321,1.1333,1.13198,1.13301,5291
2019.07.01,09:00,1.13302,1.13336,1.13205,1.13232,3940
2019.07.01,10:00,1.13231,1.13371,1.13231,1.13368,3773
2019.07.01,11:00,1.13366,1.13597,1.13349,1.13476,6479
2019.07.01,12:00,1.13474,1.13558,1.13423,1.13455,4451
2019.07.01,13:00,1.13456,1.13487,1.13334,1.13348,4527
2019.07.01,14:00,1.13348,1.13369,1.13211,1.13239,7043
2019.07.01,15:00,1.1324,1.13246,1.13034,1.13065,5734
2019.07.01,16:00,1.13063,1.13072,1.12918,1.12939,3517
2019.07.01,17:00,1.12938,1.1295,1.12807,1.1283,3460
2019.07.01,18:00,1.1283,1.12872,1.12816,1.12848,2653
2019.07.01,19:00,1.12849,1.12886,1.12844,1.12867,1837
2019.07.01,20:00,1.12865,1.12882,1.12826,1.12853,1018
2019.07.01,21:05,1.12845,1.12886,1.12842,1.12877,867
2019.07.01,22:05,1.12876,1.12893,1.12798,1.12886,1896
2019.07.01,23:05,1.12885,1.12885,1.12855,1.12865,875
2019.07.02,00:00,1.12864,1.12872,1.12829,1.12837,1175
2019.07.02,01:00,1.12838,1.12869,1.12822,1.12823,1701
2019.07.02,02:00,1.12824,1.12836,1.12748,1.12794,1442
2019.07.02,03:00,1.12794,1.12828,1.12791,1.12795,736
2019.07.02,04:00,1.12795,1.12895,1.12774,1.12892,1603
2019.07.02,05:00,1.12892,1.12915,1.12866,1.12906,1316
2019.07.02,06:00,1.12906,1.12951,1.12868,1.12909,3203
2019.07.02,07:00,1.12908,1.1299,1.12854,1.12884,4836
2019.07.02,08:00,1.12883,1.12948,1.1287,1.1293,3621
2019.07.02,09:00,1.1293,1.1321,1.12891,1.13065,5971
2019.07.02,10:00,1.13064,1.13108,1.12963,1.12987,4411
2019.07.02,11:00,1.12986,1.13025,1.12949,1.12958,3248
2019.07.02,12:00,1.12959,1.13015,1.12903,1.12976,3216
2019.07.02,13:00,1.12979,1.13027,1.12965,1.12988,3197
2019.07.02,14:00,1.12989,1.13013,1.12858,1.12943,5188
2019.07.02,15:00,1.12942,1.13039,1.1293,1.13,4688
2019.07.02,16:00,1.13,1.13114,1.13,1.13062,4511
2019.07.02,17:00,1.13061,1.13064,1.12912,1.13009,3556
2019.07.02,18:00,1.13007,1.13007,1.12873,1.12902,2744
2019.07.02,19:00,1.12905,1.12965,1.12818,1.12829,3467
2019.07.02,20:00,1.12828,1.12884,1.12828,1.12851,1140
2019.07.02,21:05,1.12856,1.12912,1.12837,1.12901,793
2019.07.02,22:05,1.12901,1.12915,1.12886,1.12904,1021
2019.07.02,23:05,1.12903,1.12918,1.12872,1.129,1022
2019.07.03,00:00,1.12901,1.12939,1.12865,1.12928,1756
2019.07.03,01:00,1.12927,1.12948,1.12874,1.12879,2219
2019.07.03,02:00,1.1288,1.12917,1.12856,1.12914,1847
2019.07.03,03:00,1.12915,1.1293,1.12865,1.12867,1185
2019.07.03,04:00,1.12868,1.12895,1.12857,1.12879,1180
2019.07.03,05:00,1.12879,1.129,1.12846,1.12892,1189
2019.07.03,06:00,1.12893,1.12894,1.12781,1.12838,3577
2019.07.03,07:00,1.12839,1.12844,1.12682,1.1277,5264
2019.07.03,08:00,1.1277,1.12883,1.12763,1.12881,4577
2019.07.03,09:00,1.12879,1.12921,1.12828,1.12883,3866
2019.07.03,10:00,1.12884,1.12995,1.12841,1.12971,2883
2019.07.03,11:00,1.1297,1.12994,1.12883,1.12908,3167
2019.07.03,12:00,1.12909,1.12996,1.12765,1.12822,5976
2019.07.03,13:00,1.12823,1.12993,1.12794,1.12906,5563
2019.07.03,14:00,1.12907,1.13111,1.12797,1.12807,8251
2019.07.03,15:00,1.12806,1.12844,1.12727,1.12743,4551
